Id;Source;Target;person_id;exhibitor;exhibition_id;exhibition;year;name_from_catalogue;place_name
114;p_277;e_3;277;Alt, Franz;3;3. Große Internationale Kunstausstellung (Künstlerhaus);1871;Alt, Franz;Vienna
115;p_277;e_4;277;Alt, Franz;4;4. Große Jahresausstellung (Künstlerhaus);1872;Alt, Franz;Vienna
116;p_277;e_5;277;Alt, Franz;5;5. Große Jahresausstellung (Künstlerhaus);1874;Alt, Franz;Vienna
117;p_277;e_6;277;Alt, Franz;6;6. Große Jahresausstellung (Künstlerhaus);1875;Alt, Franz;Vienna
118;p_277;e_13;277;Alt, Franz;13;13. Jahresausstellung (Künstlerhaus);1883;Alt, Franz;Vienna
119;p_277;e_14;277;Alt, Franz;14;14. Jahresausstellung (Künstlerhaus);1884;Alt, Franz;Vienna
120;p_277;e_15;277;Alt, Franz;15;15. Jahresausstellung (Künstlerhaus);1885;Alt, Franz;Vienna
121;p_277;e_16;277;Alt, Franz;16;16. Jahresausstellung (Künstlerhaus);1886;Alt, Franz;Vienna
122;p_277;e_17;277;Alt, Franz;17;17. Jahresausstellung (Künstlerhaus);1887;Alt, Franz;Vienna
123;p_277;e_18;277;Alt, Franz;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Alt, Franz;no value
124;p_277;e_19;277;Alt, Franz;19;18. Jahresausstellung (Künstlerhaus);1889;Alt, Franz;Vienna
125;p_277;e_21;277;Alt, Franz;21;20. Jahresausstellung (Künstlerhaus);1891;Alt, Franz;Vienna
126;p_277;e_22;277;Alt, Franz;22;21. Jahresausstellung (Künstlerhaus);1892;Alt, Franz;Vienna
127;p_277;e_24;277;Alt, Franz;24;23. Jahresausstellung (Künstlerhaus);1895;Alt, Franz;Vienna
128;p_277;e_25;277;Alt, Franz;25;24. Jahresausstellung (Künstlerhaus);1896;Alt, Franz;Vienna
129;p_278;e_4;278;Alt, Rudolf Ritter von;4;4. Große Jahresausstellung (Künstlerhaus);1872;Alt, Rudolf Ritter von;Vienna
130;p_278;e_5;278;Alt, Rudolf Ritter von;5;5. Große Jahresausstellung (Künstlerhaus);1874;Alt, Rudolf Ritter von;Vienna
131;p_278;e_6;278;Alt, Rudolf Ritter von;6;6. Große Jahresausstellung (Künstlerhaus);1875;Alt, Rudolf Ritter von;Vienna
132;p_278;e_7;278;Alt, Rudolf Ritter von;7;7. Große Jahresausstellung (Künstlerhaus);1876;Alt, Rudolf Ritter von;Vienna
133;p_278;e_8;278;Alt, Rudolf Ritter von;8;8. Große Jahresausstellung (Künstlerhaus);1877;Alt, Rudolf Ritter von;Vienna
134;p_278;e_9;278;Alt, Rudolf Ritter von;9;9. Große Jahresausstellung (Künstlerhaus);1878;Alt, Rudolf Ritter von;Vienna
135;p_278;e_10;278;Alt, Rudolf Ritter von;10;10. Große Jahresausstellung (Künstlerhaus);1879;Alt, Rudolf Ritter von;Vienna
136;p_278;e_11;278;Alt, Rudolf Ritter von;11;11. Jahresausstellung (Künstlerhaus);1880;Alt, Rudolf Ritter von;Vienna
137;p_278;e_12;278;Alt, Rudolf Ritter von;12;12. Jahresausstellung (Künstlerhaus);1881;Alt, Rudolf Ritter von;Vienna
138;p_278;e_13;278;Alt, Rudolf Ritter von;13;13. Jahresausstellung (Künstlerhaus);1883;Alt, Rudolf Ritter von;Vienna
139;p_278;e_14;278;Alt, Rudolf Ritter von;14;14. Jahresausstellung (Künstlerhaus);1884;Alt, Rudolf Ritter von;Vienna
140;p_278;e_15;278;Alt, Rudolf Ritter von;15;15. Jahresausstellung (Künstlerhaus);1885;Alt, Rudolf Ritter von;Vienna
141;p_278;e_16;278;Alt, Rudolf Ritter von;16;16. Jahresausstellung (Künstlerhaus);1886;Alt, Rudolf Ritter von;Vienna
142;p_278;e_17;278;Alt, Rudolf Ritter von;17;17. Jahresausstellung (Künstlerhaus);1887;Alt, Rudolf Ritter von;Vienna
143;p_278;e_18;278;Alt, Rudolf Ritter von;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Alt, Rudolf Ritter von;no value
144;p_278;e_19;278;Alt, Rudolf Ritter von;19;18. Jahresausstellung (Künstlerhaus);1889;Alt, Rudolf Ritter von;Vienna
145;p_278;e_20;278;Alt, Rudolf Ritter von;20;19. Jahresausstellung (Künstlerhaus);1890;Alt, Rudolf Ritter von;Vienna
146;p_278;e_21;278;Alt, Rudolf Ritter von;21;20. Jahresausstellung (Künstlerhaus);1891;Alt, Rudolf Ritter von;Vienna
147;p_278;e_22;278;Alt, Rudolf Ritter von;22;21. Jahresausstellung (Künstlerhaus);1892;Alt, Rudolf Ritter von;Vienna
148;p_278;e_23;278;Alt, Rudolf Ritter von;23;22. Jahresausstellung (Künstlerhaus);1893;Alt, Rudolf Ritter von;Vienna
149;p_278;e_24;278;Alt, Rudolf Ritter von;24;23. Jahresausstellung (Künstlerhaus);1895;Alt, Rudolf Ritter von;Vienna
150;p_278;e_25;278;Alt, Rudolf Ritter von;25;24. Jahresausstellung (Künstlerhaus);1896;Alt, Rudolf Ritter von;Vienna
151;p_278;e_26;278;Alt, Rudolf Ritter von;26;25. Jahresausstellung (Künstlerhaus);1897;Alt, Rudolf Ritter von;Vienna
152;p_279;e_1;279;Altmann, Anton;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Altmann, Anton;Vienna
153;p_279;e_2;279;Altmann, Anton;2;2. Große Internationale Kunstausstellung (Künstlerhaus);1870;Altmann, Anton;Vienna
154;p_279;e_4;279;Altmann, Anton;4;4. Große Jahresausstellung (Künstlerhaus);1872;Altmann, Anton;Vienna
155;p_279;e_5;279;Altmann, Anton;5;5. Große Jahresausstellung (Künstlerhaus);1874;Altmann, Anton;Vienna
156;p_280;e_27;280;Am Ende, Hans;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Am Ende, Hans;Worpswede
157;p_280;e_28;280;Am Ende, Hans;28;26. Jahresausstellung (Künstlerhaus);1899;Am Ende, Hans;Worpswede
158;p_280;e_29;280;Am Ende, Hans;29;27. Jahresausstellung (Künstlerhaus);1900;Am Ende, Hans;Worpswede
159;p_281;e_27;281;Aman-Jean, Edmond;27;Jubiläums-Kunstausstellung 1898 (Künstlerhaus);1898;Aman-Jean, Edmond;Paris
160;p_282;e_18;282;Amberg, Wilhelm;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Amberg, Wilhelm;no value
161;p_283;e_1;283;Amberger, Gustav Adolf;1;1. Große Internationale Kunstausstellung (Künstlerhaus);1869;Amberger, G. A.;Venice
162;p_284;e_12;284;Ambros, Rafael von;12;12. Jahresausstellung (Künstlerhaus);1881;Ambros, R.;Vienna
163;p_284;e_26;284;Ambros, Rafael von;26;25. Jahresausstellung (Künstlerhaus);1897;Ambros, R.;Vienna
164;p_285;e_18;285;Amell y Jorda, Manuel;18;Jubiläums-Kunstausstellung 1888 (Künstlerhaus);1888;Amell y Jorda, Manuel;no value
